"main_id","ra","dec","rvz_redshift","radial_velocity","rv_norm","ang_dist"
"[WES2023] EGS-14506",214.807166666667,52.8623555555555,10.71,3210777.22518,1.97714521497086,1.62951554963183
"[WSE2024] EGS-109640",215.031125,52.9896861111111,8.7,2608194.3846,0.0171740578676675,1.62951784288278
"CANDELS EGS F160W J142020.9+530122.4",215.087224,53.02289,7.98,2392343.81484,-0.684905162587203,1.62953731358127
"[FLB2024] CEERS-25535",214.838706,52.882221,8.65,2593204.7617,-0.0315814435528077,1.62953955845885
"CEERS J141946.36+525632.8",214.943125,52.94245,11.409,3420332.153322,2.65874712482913,1.6295507784843
"[WSE2024] EGS-35943",214.74225,52.828825,8.68,2602198.53544,-0.00232814270052258,1.62956036702164
"[WES2023] EGS-7860",214.752666666667,52.83665,10.11,3030901.75038,1.39207919792513,1.62958409645876
"CANDELS EGS F160W J141957.7+525819.2",214.990458333333,52.9720277777778,7.448,2232854.227184,-1.20366369770108,1.62958583495158
"[FBF2023] CEERS1 5534",214.950078,52.949267,8.21,2461296.08018,-0.460629856053008,1.62958730867261
"[DMD2023] CEERS-21071-2",214.903,52.9229527777778,10.68,3201783.45144,1.94789191411857,1.62959242506573
"[FBF2023] CEERS1 7227",215.037504,52.999394,11.23,3366669.30334,2.48420242974382,1.62959549449894
"NAME EGS-zs8-2",215.050333333333,53.0074722222222,7.47,2239449.66126,-1.18221127707607,1.62960607176806
"[FBF2023] CEERS2 2402",214.844766,52.892104,8.74,2620186.08292,0.0561784590040508,1.62962120866244
"[WSE2024] EGS-47548",214.771833333333,52.8509583333333,8.7,2608194.3846,0.0171740578676675,1.62962671803553
"[FBF2023] CEERS2 2274",214.846173,52.894001,8.95,2683142.4991,0.260951564970054,1.62963512179702
"CANDELS EGS F160W J142002.8+525917.9",215.011706,52.988303,8.876,2660957.857208,0.188793422867748,1.62963992527009
"[CSM2024] z7 F410M 39",214.9672394,52.9636269,7.37,2209470.41546,-1.27972227991703,1.62964620915091
"CANDELS EGS F160W J141944.1+525640.7",214.93374,52.944643,9.633,2887900.747914,0.926951714373774,1.62964630271936
"[ADF2023b] MSA ID   69",214.861583333333,52.9046083333333,9.55,2863017.9739,0.846017582015783,1.62965845311408
"[ADF2023] CEERS MSA    20",214.830685,52.887771,7.769,2329087.606202,-0.890653378581619,1.62966798458602
"CANDELS EGS F160W J142024.9+530234.9",215.103666666667,53.0430555555556,9.2,2758090.6136,0.504729072072441,1.62967605947665
"[WSE2024] EGS-126832",214.94725,52.9566555555556,8.32,2494273.25056,-0.353367752927958,1.62970159831531
"[FBF2023] CEERS1 4143",214.966717,52.968286,8.98,2692136.27284,0.290204865822341,1.62970920327679
"[DMD2023] CEERS-5268-2",214.832,52.8922527777778,11.4,3417634.0212,2.64997113457344,1.6297153614321
"[WSE2024] EGS-91290",214.891708333333,52.9264472222222,8.71,2611192.30918,0.0269251581517656,1.62971829323694
"[CSM2024] z7 F410M 48",215.0254059,53.0029793,7.43,2227457.96294,-1.22121567821245,1.62972809453128
"[LOQ2022] EGSY-91929",215.0269545,53.0077343,7.96,2386347.96568,-0.704407363155395,1.62977745522143
"[ADF2023] CEERS MSA     2",214.994402,52.989379,8.807,2640272.177606,0.121510830907491,1.62977810891737
"[CSM2024] z7 F410M 27",214.9098511,52.942543,7.38,2212468.34004,-1.26997117963293,1.62979186980213
"[ADF2023] CEERS MSA     3",215.005189,52.99658,8,2398339.664,-0.665402962019013,1.62979208615625
"[ADF2023] CEERS MSA     4",215.005365,52.996697,7.9932,2396301.0752856,-0.672033710212198,1.62979230826582
"CANDELS EGS F160W J141923.8+525430.2",214.849136,52.908398,8.001,2398639.456458,-0.664427851990605,1.62979647595341
"[ADF2023] CEERS MSA   853",215.012541666667,53.0013722222222,9.16,2746098.91528,0.46572467093606,1.62980015696941
"[FBF2023] CEERS2 1298",214.902236,52.93937,8.62,2584210.98796,-0.0608347444050959,1.62980648549025
"[FBF2023] CEERS2 1075",214.907627,52.944611,8.89,2665154.95162,0.202444963265483,1.62983418127445
"[WSE2024] EGS-101537",215.024583333333,53.0109027777778,8.56,2566223.44048,-0.119341346109668,1.62983481194142
"[LVN2023] 25666",214.956837,52.973153,7.93,2377354.19194,-0.733660664007682,1.62984222903876
"CANDELS EGS F160W J141944.4+525739.1",214.934848,52.960867,7.579,2272127.039182,-1.07592428397943,1.62984449060787
"[ADF2023b] MSA ID   10",214.906625,52.9455055555556,11.043,3310608.113694,2.30185685443123,1.6298527715443
"[LOQ2022] EGSY-94562",215.0394433,53.0207175,7.9,2368360.4182,-0.762913964859967,1.62985288145498
"[WES2023] EGS-36916",214.985125,52.9904583333333,8.28,2482281.55224,-0.392372154064341,1.62985859134671
"[FBF2023] CEERS1 1875",214.951936,52.971742,8.92,2674148.72536,0.231698264117769,1.62985959289942
"[WSE2024] EGS-118482",214.951791666667,52.9721083333333,8.19,2455300.23102,-0.4801320566212,1.62986528882975
"[FLB2024] CEERS-1398",214.937205,52.965351,9.01,2701130.04658,0.319458166674628,1.62988448982327
"CANDELS EGS F160W J142021.5+530309.7",215.089688,53.052706,8.704,2609393.554432,0.0210744979813074,1.62989924692965
"[LVN2023] 28984",215.002843,53.007594,7.54,2260435.13332,-1.1139535750874,1.62994904456665
"[DMD2023] CEERS-127682",214.996875,53.0059277777778,11.4,3417634.0212,2.64997113457344,1.62997077653264
"CANDELS EGS F160W J142019.1+530314.1",215.0795,53.0539722222222,8.1,2428318.9098,-0.56789195917806,1.62998847626824
"[BIO2015] EGSY-9587400281",214.99475,53.0078055555556,7.58,2272426.83164,-1.07494917395102,1.63000994132761
"[BTP2024] J214.994939+53.007919",214.994939,53.007919,7.457,2235552.359306,-1.1948877074454,1.63001002463816
"[HBG2012] 9",104.63254,-55.963764,7.8,2338381.1724,-0.860424967700922,1.63395753503781
"[HBG2012] 4",104.66375,-55.928802,7.9,2368360.4182,-0.762913964859967,1.6344607314832
"sBoRG 0409-5317   291",62.2994,-53.2907,9.89,2964947.40962,1.17755499167503,1.65929119020066
"sBoRG 0409-5317   313",62.3371,-53.259,8.02,2404335.51316,-0.645900761450823,1.65994873991928
"BoRG 1408+5503  749",212.0126402,55.0585147,8,2398339.664,-0.665402962019013,1.67695929859583
"BoRG 1408+5503  980",212.0082405,55.0672755,8,2398339.664,-0.665402962019013,1.67709761929376
"[BIO2015] BORGY-7502603147",211.959416666667,55.0540833333333,7.41,2221462.11378,-1.24071787878065,1.67728590432987
"BoRG 0436-5259 1233",69.0303878,-52.9717897,8,2398339.664,-0.665402962019013,1.68651742318441
"BoRG 0440-5244  682",69.9455843,-52.7320162,8.4,2518256.6472,-0.275358950655195,1.69303603015675
"[MMD2016] M1115-9-1",168.978541666667,1.49099444444444,9.1,2728111.3678,0.407218069231486,1.69692812381948
"[BBZ2014] J111552.85+012856.7",168.970208333333,1.48241666666667,8,2398339.664,-0.665402962019013,1.69698250616977
"[BBZ2014] MACSJ1115-JD1",168.977041666667,1.49664444444444,9.2,2758090.6136,0.504729072072441,1.69699889370634
"[BBZ2014] J111551.09+013034.9",168.962875,1.50969444444444,8,2398339.664,-0.665402962019013,1.69732557339008
"sBoRG 1017-2052   310",154.3421,-20.8697,8.11,2431316.83438,-0.558140858893963,1.70555868161216
"sBoRG 1218+3008   638",184.5579,30.1255,7.58,2272426.83164,-1.07494917395102,1.70748717230915
"[BWC2021] J014630.52-301151.0",26.6271666666667,-30.1975,7.4,2218464.1892,-1.25046897906474,1.70764999820613
"[IKO2018] HFF4P-4553-7304",177.43974,22.291792,7.54,2260435.13332,-1.1139535750874,1.74111770199203
"[IKO2018] HFF4P-4461-7461",177.43588,22.296142,7.7,2308401.9266,-0.957935970541877,1.74120802872083
"[LBL2018] MACS1149 parallel 108",177.4341591,22.3097032,7.43,2227457.96294,-1.22121567821245,1.74134185348611
"[IKO2018] HFF4P-4149-8180",177.422903,22.305006,7.73,2317395.70034,-0.92868266968959,1.74146531372777
"[IKO2018] HFF4P-3994-7367",177.41644,22.29354,9.3,2788069.8594,0.602240074913396,1.74146562839932
"[ZZI2017] 1587",177.42131,22.30224,8.8,2638173.6304,0.114685060708624,1.74146587455955
"[IKO2018] HFF4P-3878-7079",177.411594,22.28555,7.86,2356368.71988,-0.80191836599635,1.74147075784078
"[IKO2018] HFF4P-3745-6484",177.40606,22.280113,8.37,2509262.87346,-0.304612251507483,1.74150629974236
"[IKO2018] HFF4P-3959-8115",177.414974,22.303195,7.53,2257437.20874,-1.1237046753715,1.74156434396954
"[ZZI2017] 2591",177.40555,22.29315,9,2698132.122,0.309707066390533,1.74161853415081
"[IKO2018] HFF4P-3998-8560",177.41658,22.31556,7.9,2368360.4182,-0.762913964859967,1.74164084997874
