"metadata.name","metadata.description","metadata.datatype","metadata.arraysize","metadata.ucd","metadata.unit","data.1","data.2","data.3","data.4"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","SB-NI 0609-1057","338.212875","-60.6384722222222","10.05"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[CCG2019] NGP1.02","201.06683","28.74321","10.01"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[PSR2004] 1916","210.25025","2.87891666666667","10"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[YWH2010] Jdrop-C27","53.1461375","-27.7946361111111","10"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","BoRG 2134-0708  774","323.5623","-7.12","10"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[YWH2010] Jdrop-C67","53.1803791666667","-27.7800061111111","10"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[YWH2010] Jdrop-C126","53.1594875","-27.7681430555556","10"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[YWH2010] Jdrop-SC40","53.1560416666667","-27.770625","10"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[YWH2010] Jdrop-C114","53.1465333333333","-27.779995","10"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[YWH2010] Jdrop-C66","53.1603875","-27.7801688888889","10"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[YWH2010] Jdrop-C34","53.1635625","-27.7932661111111","10"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[YWH2010] Jdrop-C51","53.1572416666667","-27.7846911111111","10"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[YWH2010] Jdrop-C99","53.181725","-27.7764338888889","10"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[YWH2010] Jdrop-C61","53.1791958333333","-27.7814619444444","10"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[YWH2010] Jdrop-C47","53.173975","-27.7868011111111","10"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[YWH2010] Jdrop-C65","53.1785041666667","-27.780265","10"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[YWH2010] Jdrop-C56","53.1566166666667","-27.7829030555556","10"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[YWH2010] Jdrop-C106","53.152425","-27.7781569444444","10"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[YWH2010] Jdrop-C103","53.1459041666667","-27.7777980555556","10"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[YWH2010] Jdrop-C71","53.16495","-27.7692011111111","10"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[YWH2010] Jdrop-C8","53.16355","-27.8007230555556","10"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[YWH2010] Jdrop-C108","53.1619583333333","-27.7607311111111","10"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[YWH2010] Jdrop-C20","53.1588625","-27.7957830555556","10"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[YWH2010] Jdrop-C30","53.1527","-27.7935438888889","10"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","BoRG 2140+0241  303","324.8854375","2.68516944444444","10"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","OTELO 7699","214.421421","52.4466801","10"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"OTELO 5467","214.403832","52.4713429","10"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"OTELO 3474","214.3996151","52.5269168","10"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","BoRG 1459+7146  785","224.7238","71.7814","10"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","JADES-GN+189.05413+62.21795","189.054128","62.21795","10"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[LBF2023] NGDEEP  9555","53.258685","-27.847324","10"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[MAC2016] A2744cl   1104","3.583734","-30.400612","9.9875"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[MAC2016] A2744cl    539","3.567937","-30.407566","9.9875"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MAC2016] A2744cl    804","3.591399","-30.404745","9.9875"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[MAC2016] A2744cl   1332","3.58505","-30.396873","9.9875"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[MAC2016] M0416cl   2362","64.048141","-24.058432","9.98749"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[MAC2016] M0416cl     63","64.034531","-24.094704","9.98749"
